"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"251","diclofenac","DTXSID6022923","NOEC",100.9,"ug/L","Rainbow Trout","Fish",296.15
"252","diclofenac","DTXSID6022923","NOEC",170,"ug/L","Nile Tilapia","Fish",296.15
"253","diclofenac","DTXSID6022923","NOEC",296.153,"ug/L","Zebra Danio","Fish",296.15
"254","diclofenac","DTXSID6022923","NOEC",340,"ug/L","Nile Tilapia","Fish",296.15
"255","diclofenac","DTXSID6022923","NOEC",680,"ug/L","Nile Tilapia","Fish",296.15
"256","diclofenac","DTXSID6022923","NOEC",1000,"ug/L","Japanese Medaka","Fish",296.15
"257","diclofenac","DTXSID6022923","NOEC",2961.53,"ug/L","Topminnow","Fish",296.15
"258","diclofenac","DTXSID6022923","NOEC",5923.06,"ug/L","Topminnow","Fish",296.15
"259","diclofenac","DTXSID6022923","NOEC",7098,"ug/L","Common Carp","Fish",296.15
"260","diclofenac","DTXSID6022923","NOEC",2.96153,"ug/L","Clawed Frog","Amphibians",296.15
"261","diclofenac","DTXSID6022923","NOEC",2000,"ug/L","Zebra Danio","Fish",296.15
"262","diclofenac","DTXSID6022923","NOEC",9254.78,"ug/L","Rainbow Trout","Fish",296.15
"263","diclofenac","DTXSID6022923","NOEC",10100,"ug/L","Japanese Medaka","Fish",296.15
"264","diclofenac","DTXSID6022923","NOEC",29615.3,"ug/L","Common Carp","Fish",296.15
"265","diclofenac","DTXSID6022923","NOEC",74038.2,"ug/L","Rainbow Trout","Fish",296.15
"266","diclofenac","DTXSID6022923","NOEC",296153,"ug/L","Common Carp","Fish",296.15
"267","amiodarone","DTXSID7022592","NOEC",623,"ug/L","Fathead Minnow","Fish",645.32
